city_id,city,Cloudiness,Humidity,Latitude,Max Temp,Wind Speed
321,sibolga,64,70,1.74,84.74,5.79
322,uruacu,0,53,-14.52,60.98,6.55
323,opuwo,0,11,-18.06,75.38,12.55
324,barra patuca,20,80,15.8,81.68,9.55
325,erie,20,73,42.13,75.99,11.41
326,muravlenko,71,55,63.79,76.82,27.13
327,antalaha,79,59,-14.9,76.64,2.46
328,beringovskiy,0,71,63.05,57.56,3.22
329,sabang,59,88,13.8,80.96,2.89
330,geraldton,90,100,49.72,51.8,14.99
331,charlestown,90,94,41.38,73.0,10.29
332,cartagena,0,51,37.63,89.01,9.17
333,kruisfontein,0,28,-34.0,74.3,9.66
334,ouricuri,100,92,-7.88,66.56,8.3
335,boguchany,76,38,58.38,75.56,8.14
336,jumla,100,84,29.28,64.58,6.55
337,cap-aux-meules,75,76,47.38,55.4,10.29
338,oskemen,0,39,49.96,82.4,11.18
339,durres,0,36,41.32,78.8,4.7
340,comodoro rivadavia,0,87,-45.87,42.8,6.93
341,xining,100,84,36.62,48.56,4.88
342,marawi,100,76,8.0,82.99,4.0
343,gornopravdinsk,100,68,60.06,66.56,12.21
344,grimshaw,20,93,56.19,52.0,4.7
345,jining,77,32,35.41,93.99,4.81
346,yantal,67,42,56.85,82.58,6.29
347,yanam,40,50,16.73,98.6,11.41
348,kirove,100,35,47.83,73.58,7.72
349,orcopampa,0,55,-15.27,31.28,3.44
350,bandarbeyla,80,32,9.49,96.62,30.2
351,mitchell,1,88,43.71,62.6,3.36
352,panguna,100,80,-6.32,80.78,21.25
353,ravar,0,7,31.27,98.78,11.86
354,north bend,90,100,43.41,64.0,10.27
355,qarqin,0,7,37.41,109.4,10.09
356,port hawkesbury,90,81,45.62,57.0,4.7
357,kantunilkin,40,78,21.1,82.4,6.93
358,ixtapa,40,83,20.71,82.4,2.24
359,abhar,0,26,36.14,84.2,14.58
360,flin flon,100,97,54.77,53.6,5.03
361,puerto leguizamo,96,96,-0.19,69.26,1.81
362,grindavik,75,87,63.84,53.6,5.82
363,smirnykh,100,91,49.74,57.92,2.39
364,san jeronimo,51,85,-13.65,41.18,3.13
365,kasongo-lunda,0,34,-6.48,82.22,4.41
366,san cristobal,92,97,14.68,64.4,2.98
367,san rafael,69,82,-34.61,41.18,1.9
368,arkhangelsk,75,87,64.54,46.4,8.95
369,souillac,0,42,45.6,80.6,6.93
370,cedar city,1,34,37.68,66.2,1.54
371,bathsheba,40,74,13.22,80.6,14.99
372,basoko,100,58,1.23,83.84,3.94
373,imbituba,0,93,-28.24,51.8,4.7
374,ulaangom,99,48,49.98,69.44,15.41
375,mosquera,75,87,4.71,51.8,2.24
376,haines junction,35,59,60.75,52.34,3.38
377,anadyr,0,48,64.73,64.4,4.47
378,oksfjord,40,54,70.24,59.0,5.82
379,tiznit,52,89,29.7,66.74,6.17
380,iqaluit,75,81,63.75,48.2,6.93
381,vincennes,0,60,48.85,77.0,2.71
382,ostrovnoy,100,92,68.05,40.28,27.27
383,quang ngai,100,61,15.12,86.18,2.24
384,schio,20,53,45.71,82.0,5.82
385,sao joao da barra,0,93,-21.64,60.8,6.93
386,ucluelet,0,99,48.94,59.0,8.41
387,maceio,75,94,-9.67,71.6,4.7
388,san andres,42,67,13.32,86.9,2.86
389,torbay,90,93,47.66,50.0,3.36
390,praia da vitoria,20,88,38.73,73.0,6.35
391,molteno,0,17,-31.4,65.3,20.36
392,tazovskiy,100,91,67.47,49.64,14.16
393,papetoai,20,69,-17.5,78.8,13.87
394,chabahar,0,62,25.29,91.04,15.77
395,gunjur,75,78,13.18,82.4,14.99
396,sao gabriel da cachoeira,82,99,-0.13,69.44,1.92
397,nago,20,53,45.88,80.6,5.82
398,abu samrah,0,20,35.3,99.14,14.97
399,xuddur,99,48,4.12,85.46,20.71
400,abong mbang,100,75,3.98,73.4,5.12
401,presidencia roque saenz pena,32,72,-26.79,63.86,7.05
402,lagoa,0,47,37.14,84.0,6.93
403,moree,0,41,-29.46,59.0,10.29
404,masuguru,100,38,-11.38,80.24,7.4
405,union,75,78,40.7,75.2,4.7
406,srandakan,14,80,-7.94,76.82,19.48
407,mattru,46,89,7.62,77.36,3.94
408,jhang,40,59,33.67,93.2,10.29
409,hanzhong,100,86,33.08,69.8,3.27
410,svetlaya,79,81,46.54,66.74,2.53
411,vila franca do campo,40,78,37.72,71.6,5.82
412,karratha,100,19,-20.74,80.6,8.28
413,gordeyevka,52,76,52.96,63.5,7.85
414,kuybyshevo,100,60,44.63,68.36,10.2
415,todos santos,0,87,23.45,82.0,3.0
416,wuwei,100,21,37.93,82.04,11.48
417,mahebourg,20,61,-20.41,78.8,9.17
418,waingapu,0,57,-9.65,76.82,13.18
419,monrovia,90,94,6.33,75.2,11.68
420,ustikolina,20,63,43.58,66.0,2.24
421,acari,26,79,-6.44,71.96,5.5
422,atar,80,22,20.52,87.62,14.85
423,goulburn,100,72,-34.75,48.0,1.99
424,road town,1,69,18.42,82.4,11.41
425,mogoytuy,30,29,51.28,84.02,4.54
426,touros,72,77,-5.2,79.16,15.39
427,hanna,7,94,51.64,53.01,1.99
428,sechura,0,87,-5.56,62.96,8.05
429,san jose,1,94,14.25,68.0,4.7
430,zalari,26,62,53.57,76.1,14.27
431,sistranda,40,82,63.73,55.4,10.29
432,ginda,40,94,30.69,77.0,5.82
433,khandyga,100,50,62.65,80.6,5.41
434,palu,65,80,-0.9,78.8,3.04
435,hit,0,12,33.64,106.34,17.29
436,amapa,40,83,15.09,75.2,2.42
437,ormara,0,43,25.21,95.18,15.68
438,linxi,40,79,23.65,86.0,8.95
439,westport,90,94,41.14,75.0,1.01
440,phalodi,63,29,27.13,104.0,27.29
441,manono,0,18,-7.3,92.66,6.87
442,bolobo,92,61,-2.17,80.6,6.67
443,karonga,30,49,-9.94,68.72,8.32
444,leningradskiy,3,68,69.38,45.68,2.84
445,wundanyi,95,56,-3.4,74.84,8.39
446,ahuas,23,97,15.48,74.48,0.81
447,sao paulo de olivenca,100,99,-3.38,69.8,1.7
448,green river,1,29,41.53,62.6,4.7
449,mahudha,40,42,22.82,98.6,11.41
450,bindi,100,51,12.86,85.28,16.24
451,deputatskiy,100,58,69.3,67.28,12.12
452,nalut,0,38,31.86,88.52,10.11
453,klaksvik,75,93,62.23,53.6,11.41
454,coihaique,100,93,-45.58,35.6,6.93
455,bila tserkva,100,85,49.8,56.3,9.44
456,paragominas,3,98,-3.0,68.18,2.53
457,agadir,75,73,30.42,69.8,3.36
458,piripiri,31,75,-4.27,69.26,3.24
459,hobbs,1,60,32.7,75.2,11.72
460,high level,1,87,58.52,48.2,3.96
461,galle,100,95,10.08,71.06,0.49
462,laguna,75,94,16.17,78.8,1.43
463,saint-denis,0,60,48.94,77.0,2.71
464,barreirinhas,0,97,-2.75,69.8,3.11
465,dogondoutchi,99,49,13.64,86.72,13.98
466,ambon,0,49,47.55,75.0,4.7
467,dera bugti,0,15,29.03,110.66,11.77
468,mayo,90,52,63.59,64.4,6.93
469,kulhudhuffushi,100,65,6.62,83.84,1.28
470,mackay,100,100,53.65,51.8,5.82
471,phuket,20,62,7.89,91.4,8.05
472,tevaitoa,1,75,-16.78,78.08,10.71
473,severo-yeniseyskiy,67,36,60.37,67.82,9.48
474,burnie,98,87,-41.05,46.99,8.99
475,esperance,75,82,-33.86,57.2,11.41
476,atbasar,100,30,51.81,84.92,11.72
477,kindu,59,48,-2.95,86.9,2.75
478,dingle,49,76,11.0,84.56,5.61
479,sibu,75,94,2.29,78.8,5.82
480,tsiroanomandidy,0,39,-18.77,80.42,1.57
481,kloulklubed,75,88,7.04,80.6,9.17
482,nador,40,74,35.17,78.8,9.17
483,kirovskiy,71,86,45.09,71.24,8.79
484,bejar,0,53,40.49,77.54,15.14
485,sioux lookout,20,100,50.1,55.4,3.36
486,nagato,75,78,34.35,82.4,5.82
487,gornyy,95,41,51.76,74.84,11.65
488,mocajuba,7,98,-2.58,69.62,2.06
489,ambilobe,66,41,-13.19,88.88,5.1
490,pachino,0,40,36.72,87.8,4.7
491,fairbanks,90,77,64.84,68.0,3.36
492,narasannapeta,100,48,18.42,95.36,9.08
493,ancud,90,100,-41.87,44.6,6.93
494,wagar,18,91,31.44,78.01,2.93
495,hohhot,20,47,40.81,78.8,2.24
496,gujranwala,40,59,32.15,89.6,4.7
497,pavilosta,84,68,56.89,64.4,5.82
498,adre,70,50,13.47,83.66,16.58
499,tygda,94,50,53.11,77.9,4.27
500,buchanan,90,94,5.88,75.2,12.17
